,Flight Number,Launch Site,Mission Outcome,class,Payload Mass (kg),Booster Version,Booster Version Category
0,1,CCAFS LC-40,Success,0,0.0,F9 v1.0  B0003,v1.0
1,2,CCAFS LC-40,Success,0,0.0,F9 v1.0  B0004,v1.0
2,3,CCAFS LC-40,Success,0,525.0,F9 v1.0  B0005,v1.0
3,4,CCAFS LC-40,Success,0,500.0,F9 v1.0  B0006,v1.0
4,5,CCAFS LC-40,Success,0,677.0,F9 v1.0  B0007,v1.0
5,7,CCAFS LC-40,Success,0,3170.0,F9 v1.1,v1.1
6,8,CCAFS LC-40,Success,0,3325.0,F9 v1.1,v1.1
7,9,CCAFS LC-40,Success,0,2296.0,F9 v1.1,v1.1
8,10,CCAFS LC-40,Success,0,1316.0,F9 v1.1,v1.1
9,11,CCAFS LC-40,Success,0,4535.0,F9 v1.1,v1.1
10,12,CCAFS LC-40,Success,0,4428.0,F9 v1.1 B1011,v1.1
11,13,CCAFS LC-40,Success,0,2216.0,F9 v1.1 B1010,v1.1
12,14,CCAFS LC-40,Success,0,2395.0,F9 v1.1 B1012,v1.1
13,15,CCAFS LC-40,Success,0,570.0,F9 v1.1 B1013,v1.1
14,16,CCAFS LC-40,Success,0,4159.0,F9 v1.1 B1014,v1.1
15,17,CCAFS LC-40,Success,0,1898.0,F9 v1.1 B1015,v1.1
16,18,CCAFS LC-40,Success,0,4707.0,F9 v1.1 B1016,v1.1
17,19,CCAFS LC-40,Failure  (in flight),1,1952.0,F9 v1.1 B1018,v1.1
18,20,CCAFS LC-40,Success,1,2034.0,F9 FT B1019,FT
19,22,CCAFS LC-40,Success,0,5271.0,F9 FT B1020,FT
20,23,CCAFS LC-40,Success,1,3136.0,F9 FT B1021.1,FT
21,24,CCAFS LC-40,Success,1,4696.0,F9 FT B1022,FT
22,25,CCAFS LC-40,Success,1,3100.0,F9 FT B1023.1,FT
23,26,CCAFS LC-40,Success,0,3600.0,F9 FT B1024,FT
24,27,CCAFS LC-40,Success,1,2257.0,F9 FT B1025.1,FT
25,28,CCAFS LC-40,Success,1,4600.0,F9 FT B1026,FT
26,6,VAFB SLC-4E,Success,0,500.0,F9 v1.1  B1003,v1.1
27,21,VAFB SLC-4E,Success,0,553.0,F9 v1.1 B1017,v1.1
28,29,VAFB SLC-4E,Success,1,9600.0,F9 FT B1029.1,FT
29,37,VAFB SLC-4E,Success,1,9600.0,F9 FT B1036.1,FT
30,40,VAFB SLC-4E,Success,1,475.0,F9 FT B1038.1,FT
31,42,VAFB SLC-4E,Success,1,9600.0,F9 B4 B1041.1,B4
32,46,VAFB SLC-4E,Success,0,9600.0,F9 FT  B1036.2,FT
33,49,VAFB SLC-4E,Success,0,2150.0,F9 FT  B1038.2,FT
34,51,VAFB SLC-4E,Success,0,9600.0,F9 B4  B1041.2,B4
35,55,VAFB SLC-4E,Success,0,6460.0,F9 B4  B1043.2,B4
36,30,KSC LC-39A,Success,1,2490.0,F9 FT B1031.1,FT
37,31,KSC LC-39A,Success,0,5600.0,F9 FT B1030,FT
38,32,KSC LC-39A,Success,1,5300.0,F9 FT  B1021.2,FT
39,33,KSC LC-39A,Success,1,3696.65,F9 FT B1032.1,FT
40,34,KSC LC-39A,Success,0,6070.0,F9 FT B1034,FT
41,35,KSC LC-39A,Success,1,2708.0,F9 FT B1035.1,FT
42,36,KSC LC-39A,Success,1,3669.0,F9 FT  B1029.2,FT
43,38,KSC LC-39A,Success,0,6761.0,F9 FT B1037,FT
44,39,KSC LC-39A,Success,1,3310.0,F9 B4 B1039.1,B4
45,41,KSC LC-39A,Success,1,4990.0,F9 B4 B1040.1,B4
46,43,KSC LC-39A,Success,1,5200.0,F9 FT  B1031.2,FT
47,44,KSC LC-39A,Success,1,3500.0,F9 B4 B1042.1,B4
48,54,KSC LC-39A,Success,1,3600.0,F9 B5  B1046.1,B5
49,45,CCAFS SLC-40,Success,1,2205.0,F9 FT  B1035.2,FT
50,47,CCAFS SLC-40,Success  (payload status unclear),1,3696.65,F9 B4 B1043.1,B4
51,48,CCAFS SLC-40,Success,0,4230.0,F9 FT  B1032.2,FT
52,50,CCAFS SLC-40,Success,0,6092.0,F9 B4 B1044,B4
53,52,CCAFS SLC-40,Success,0,2647.0,F9 B4  B1039.2,B4
54,53,CCAFS SLC-40,Success,1,362.0,F9 B4 B1045.1,B4
55,56,CCAFS SLC-40,Success,0,5384.0,F9 B4  B1040.2,B4
